Description,Question,Equation,Input Numbers,Output
victor bought several boxes of books at a yard sale and ended up with number0 books total . if each box had number1 books,how many boxes did he buy ?,/ number0 number1,24 3,8.0
paul was packing up his old toys . he managed to squeeze number0 toys into a box . if paul filled up number1 boxes,how many toys did he pack total ?,* number0 number1,8 4,32.0
each table in a break room can seat number0 people . if the break room has number1 tables,how many people can sit in there ?,* number0 number1,8 4,32.0
adam could fit number0 action figures on each shelf in his room . his room has number1 shelves .,how many action figures total could his shelves hold ?,* number0 number1,9 3,27.0
ned mowed his lawn number0 times in the spring and number1 times in the summer .,how many times did he mow total ?,+ number0 number1,6 5,11.0
billy was making ice using ice trays . each tray held number0 ice cubes . if he had number1 trays,how many cubes could he make ?,* number0 number1,9 8,72.0
for gwen 's birthday she received number0 dollars . if she spent number1 dollars .,how much money did she still have ?,- number0 number1,5 3,2.0
emily is making bead necklaces for her friends . she has number0 beads and each necklace takes number1 beads .,how many necklaces can emily make ?,/ number0 number1,28 7,4.0
oliver bought number0 boxes of candy . later he bought number1 more boxes .,how many boxes did he have totaled ?,+ number0 number1,8 6,14.0
an airline lets each passenger take number0 pieces of luggage . if there were number1 people flying,how many bags could they take ?,* number0 number1,8 4,32.0
tiffany was collecting cans for recycling . on monday she had number0 bags of cans . the next day she found number1 more bags worth .,how many bags did she have totaled ?,+ number0 number1,4 8,12.0
an architect built a house with number0 bedrooms total . if the second floor had number1 bedrooms .,how many bedrooms does the first floor have ?,- number0 number1,10 2,8.0
lana 's mom was buying extra school supplies for her and her siblings . if she bought number0 packs of glue sticks with number1 glue sticks in each pack,how many did she get total ?,* number0 number1,3 7,21.0
maria was placing her spare change into stacks . each stack had number0 coins . if she had number1 stacks,how many coins did she have ?,* number0 number1,3 5,15.0
dave was making ice using ice trays . he originally had number0 ice cubes . but made number1 more cubes .,how many ice cubes did he have totaled ?,+ number0 number1,2 7,9.0
on the last day of school only number0 students showed up . if number1 of them were checked out early,how many students were left ?,- number0 number1,16 7,9.0
jerry was playing the ring toss at the carnival . all together he used number0 rings . if each game you get number1 rings,how many games did he play ?,/ number0 number1,48 6,8.0
luke was helping his mom wash clothes . they washed number0 loads with number1 towels in each load .,how many towels did they wash total ?,* number0 number1,6 7,42.0
the roller coaster at the state fair costs number0 tickets per ride . if you had number1 tickets,how many times could you ride it ?,/ number1 number0,5 10,2.0
vanessa bought number0 old cds at a garage sale . if number1 of the cds were scratched up,how many good cds did she buy ?,- number0 number1,12 7,5.0
tiffany was buying sodas for her and her friends . they needed number0 sodas but tiffany bought number1 extra .,how many did she buy ?,+ number0 number1,9 7,16.0
olivia was collecting cans for recycling . she had number0 bags with number1 cans inside each bag .,how many cans did she have ?,* number0 number1,4 5,20.0
will had number0 bottles of water . if he drank number1 each day,how many days would they last him ?,/ number0 number1,28 7,4.0
larry 's lawn care charges number0 bucks to trim a hedge . if henry has number1 hedges,how much money would he spend ?,* number0 number1,9 3,27.0
maria was buying dvds of her old favorite tv series . she bought number0 dvds at the store and she bought number1 online .,how many dvds did she buy total ?,+ number0 number1,8 2,10.0
for halloween tom received number0 pieces of candy . if he put them into piles with number1 in each pile,how many piles could he make ?,/ number0 number1,20 5,4.0
tiffany was sending out birthday invitations to her friends . she sent out number0 on monday and number1 on tuesday .,how many did she send total ?,+ number0 number1,9 8,17.0
a delivery driver had to make number0 more stops on his route . at each stop he had to drop off number1 boxes .,how many boxes does he have ?,* number0 number1,3 9,27.0
faye was placing her pencils into rows with number0 pencils in each row . if she had number1 pencils,how many rows could she make ?,/ number1 number0,8 32,4.0
john was drawing super heroes number0 sheet of scrap paper . he drew number1 pictures total . if he drew number2 on the back .,how many heroes did he draw on the front ?,- number1 number2,1 15 9,6.0
paige sent out number0 birthday party invitations . if number1 people showed up,how many people did n't come ?,- number0 number1,15 9,6.0
paul was reading through his favorite book series . each week he read number0 different books .,how many books would he have read through after number1 weeks ?,* number0 number1,4 5,20.0
a chef had number0 potatoes to make fries with but he only used number1 of them .,how many potatoes does he still have ?,- number0 number1,5 3,2.0
at the school halloween party number0 girls and number1 boys dressed as ghosts .,how many people total dressed as a ghost ?,+ number0 number1,2 9,11.0
amy bought number0 pencils at the school store but she already had number1 pencils .,how many pencils does she have totaled ?,+ number0 number1,7 3,10.0
vanessa had to complete number0 pages of homework . each page had number1 problems on it .,how many problems did she have to complete total ?,* number0 number1,3 4,12.0
a group of number0 friends were dressing as pirates for halloween . if each costume cost number1 dollars,how much did they spend ?,* number0 number1,8 5,40.0
an industrial machine made number0 shirts . it can make number1 shirts a minute .,how many minutes was the machine working ?,/ number0 number1,12 2,6.0
while playing basketball team a scored number0 points . if each person scored number1 points,how many people were playing ?,/ number0 number1,18 2,9.0
frank bought his family number0 pieces of chicken for dinner . if they only ate number1,how many pieces does he have left ?,- number0 number1,14 7,7.0
there are number0 different books in the 'crazy silly school ' series . if you read number1 of the books,how many more do you still have to read ?,- number0 number1,13 9,4.0
kale was drawing on scrap paper . he could fit number0 drawings on each page . if he has number1 pages,how many drawings can he make ?,* number0 number1,5 6,30.0
rachel bought number0 music albums online . if each album had number1 songs,how many songs did she buy total ?,* number0 number1,8 2,16.0
